show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,date_added_year,date_added_month,date_added_day,release_year_year,release_year_month,release_year_day,content_age,duration_category
S28,Movie,Grown Ups,Dennis Dugan,United States,2021-09-20,1970-01-01 00:00:00.000002010,Pg-13,103 Min,Comedies,2021,9,20,1970,1,1,56,Medium
S29,Movie,Dark Skies,Scott Stewart,United States,2021-09-19,1970-01-01 00:00:00.000002013,Pg-13,97 Min,"Horror Movies, Sci-Fi & Fantasy",2021,9,19,1970,1,1,56,Medium
S30,Movie,Paranoia,Robert Luketic,United States,2021-09-19,1970-01-01 00:00:00.000002013,Pg-13,106 Min,Thrillers,2021,9,19,1970,1,1,56,Medium
S20,Tv Show,Jaguar,Not Given,Pakistan,2021-09-22,1970-01-01 00:00:00.000002021,Tv-Ma,1 Season,"International Tv Shows, Spanish-Language Tv Shows, Tv Action & Adventure",2021,9,22,1970,1,1,56,Short
S32,Tv Show,Chicago Party Aunt,Not Given,Pakistan,2021-09-17,1970-01-01 00:00:00.000002021,Tv-Ma,1 Season,Tv Comedies,2021,9,17,1970,1,1,56,Short
S34,Tv Show,Squid Game,Not Given,Pakistan,2021-09-17,1970-01-01 00:00:00.000002021,Tv-Ma,1 Season,"International Tv Shows, Tv Dramas, Tv Thrillers",2021,9,17,1970,1,1,56,Short
S35,Tv Show,Tayo And Little Wizards,Not Given,Pakistan,2021-09-17,1970-01-01 00:00:00.000002020,Tv-Y7,1 Season,Kids Tv,2021,9,17,1970,1,1,56,Short
S75,Tv Show,The Worlds Most Amazing Vacation Rentals,Not Given,Pakistan,2021-09-14,1970-01-01 00:00:00.000002021,Tv-Pg,2 Seasons,Reality Tv,2021,9,14,1970,1,1,56,Short
S84,Tv Show,Metal Shop Masters,Not Given,Pakistan,2021-09-10,1970-01-01 00:00:00.000002021,Tv-Ma,1 Season,Reality Tv,2021,9,10,1970,1,1,56,Short
S86,Tv Show,Pokémon Master Journeys: The Series,Not Given,Pakistan,2021-09-10,1970-01-01 00:00:00.000002021,Tv-Y7,1 Season,"Anime Series, Kids Tv",2021,9,10,1970,1,1,56,Short
S88,Tv Show,Titipo Titipo,Not Given,Pakistan,2021-09-10,1970-01-01 00:00:00.000002019,Tv-Y,2 Seasons,"Kids Tv, Korean Tv Shows",2021,9,10,1970,1,1,56,Short
S90,Tv Show,Mighty Raju,Not Given,Pakistan,2021-09-09,1970-01-01 00:00:00.000002017,Tv-Y7,4 Seasons,Kids Tv,2021,9,9,1970,1,1,56,Short
S101,Tv Show,Tobot Galaxy Detectives,Not Given,Pakistan,2021-09-07,1970-01-01 00:00:00.000002019,Tv-Y7,2 Seasons,Kids Tv,2021,9,7,1970,1,1,56,Short
S122,Tv Show,Hotel Del Luna,Not Given,Pakistan,2021-09-02,1970-01-01 00:00:00.000002019,Tv-14,1 Season,"International Tv Shows, Romantic Tv Shows, Tv Comedies",2021,9,2,1970,1,1,56,Short
S133,Tv Show,Brave Animated Series,Not Given,Pakistan,2021-09-01,1970-01-01 00:00:00.000002021,Tv-Ma,1 Season,"International Tv Shows, Tv Action & Adventure, Tv Comedies",2021,9,1,1970,1,1,56,Short
S148,Tv Show,How To Be A Cowboy,Not Given,Pakistan,2021-09-01,1970-01-01 00:00:00.000002021,Tv-Pg,1 Season,Reality Tv,2021,9,1,1970,1,1,56,Short
S166,Tv Show,Oldsters,Not Given,Pakistan,2021-09-01,1970-01-01 00:00:00.000002019,Tv-Ma,1 Season,"Crime Tv Shows, International Tv Shows, Spanish-Language Tv Shows",2021,9,1,1970,1,1,56,Short
S190,Tv Show,Bread Barbershop,Not Given,Pakistan,2021-08-28,1970-01-01 00:00:00.000002020,Tv-Y,2 Seasons,"Kids Tv, Tv Comedies",2021,8,28,1970,1,1,56,Short
S182,Tv Show,Turning Point: 9/11 And The War On Terror,Not Given,Pakistan,2021-09-01,1970-01-01 00:00:00.000002021,Tv-14,1 Season,Docuseries,2021,9,1,1970,1,1,56,Short
S187,Tv Show,Hometown Cha-Cha-Cha,Not Given,Pakistan,2021-08-29,1970-01-01 00:00:00.000002021,Tv-14,1 Season,"International Tv Shows, Romantic Tv Shows, Tv Comedies",2021,8,29,1970,1,1,56,Short
S188,Tv Show,The Ingenuity Of The Househusband,Not Given,Pakistan,2021-08-29,1970-01-01 00:00:00.000002021,Tv-G,1 Season,"International Tv Shows, Tv Comedies",2021,8,29,1970,1,1,56,Short
S27,Movie,Minsara Kanavu,Rajiv Menon,India,2021-09-21,1970-01-01 00:00:00.000001997,Tv-Pg,147 Min,"Comedies, International Movies, Music & Musicals",2021,9,21,1970,1,1,56,Long
S19,Movie,Intrusion,Adam Salky,Not Given,2021-09-22,1970-01-01 00:00:00.000002021,Tv-14,94 Min,Thrillers,2021,9,22,1970,1,1,56,Medium
S23,Movie,Avvai Shanmughi,K.S. Ravikumar,Not Given,2021-09-21,1970-01-01 00:00:00.000001996,Tv-Pg,161 Min,"Comedies, International Movies",2021,9,21,1970,1,1,56,Long
S31,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",Not Given,2021-09-17,1970-01-01 00:00:00.000002021,Tv-14,111 Min,"Dramas, Independent Movies, International Movies",2021,9,17,1970,1,1,56,Medium
S36,Movie,The Father Who Moves Mountains,Daniel Sandu,Not Given,2021-09-17,1970-01-01 00:00:00.000002021,Tv-Ma,110 Min,"Dramas, International Movies, Thrillers",2021,9,17,1970,1,1,56,Medium
S37,Movie,The Stronghold,Cédric Jimenez,Not Given,2021-09-17,1970-01-01 00:00:00.000002021,Tv-Ma,105 Min,"Action & Adventure, Dramas, International Movies",2021,9,17,1970,1,1,56,Medium
S39,Movie,Birth Of The Dragon,George Nolfi,China,2021-09-16,1970-01-01 00:00:00.000002017,Pg-13,96 Min,"Action & Adventure, Dramas",2021,9,16,1970,1,1,56,Medium
S48,Tv Show,The Smart Money Woman,Bunmi Ajakaiye,South Africa,2021-09-16,1970-01-01 00:00:00.000002020,Tv-Ma,1 Season,"International Tv Shows, Romantic Tv Shows, Tv Comedies",2021,9,16,1970,1,1,56,Short
S76,Movie,You Vs. Wild: Out Cold,Ben Simms,United States,2021-09-14,1970-01-01 00:00:00.000002021,Tv-G,106 Min,Children & Family Movies,2021,9,14,1970,1,1,56,Medium
S42,Movie,Jaws,Steven Spielberg,United States,2021-09-16,1970-01-01 00:00:00.000001975,Pg,124 Min,"Action & Adventure, Classic Movies, Dramas",2021,9,16,1970,1,1,56,Long
S43,Movie,Jaws 2,Jeannot Szwarc,United States,2021-09-16,1970-01-01 00:00:00.000001978,Pg,116 Min,"Dramas, Horror Movies, Thrillers",2021,9,16,1970,1,1,56,Medium
S44,Movie,Jaws 3,Joe Alves,United States,2021-09-16,1970-01-01 00:00:00.000001983,Pg,98 Min,"Action & Adventure, Horror Movies, Thrillers",2021,9,16,1970,1,1,56,Medium
S45,Movie,Jaws: The Revenge,Joseph Sargent,United States,2021-09-16,1970-01-01 00:00:00.000001987,Pg-13,91 Min,"Action & Adventure, Horror Movies, Thrillers",2021,9,16,1970,1,1,56,Medium
S47,Movie,Safe House,Daniel Espinosa,South Africa,2021-09-16,1970-01-01 00:00:00.000002012,R,115 Min,Action & Adventure,2021,9,16,1970,1,1,56,Medium
S49,Movie,Training Day,Antoine Fuqua,United States,2021-09-16,1970-01-01 00:00:00.000002001,R,122 Min,"Dramas, Thrillers",2021,9,16,1970,1,1,56,Long
S1093,Movie,Dolly Parton: A Musicares Tribute,Not Given,Pakistan,2021-04-07,1970-01-01 00:00:00.000002021,Tv-Pg,55 Min,"Documentaries, Music & Musicals",2021,4,7,1970,1,1,56,Short
S195,Tv Show,Deadly Sins,Not Given,Pakistan,2021-08-27,1970-01-01 00:00:00.000002002,Tv-Ma,1 Season,"International Tv Shows, Spanish-Language Tv Shows, Tv Dramas",2021,8,27,1970,1,1,56,Short
S52,Movie,Inuyasha The Movie 2: The Castle Beyond The Looking Glass,Toshiya Shinohara,Japan,2021-09-15,1970-01-01 00:00:00.000002002,Tv-14,99 Min,"Action & Adventure, Anime Features, International Movies",2021,9,15,1970,1,1,56,Medium
S53,Movie,Inuyasha The Movie 3: Swords Of An Honorable Ruler,Toshiya Shinohara,Japan,2021-09-15,1970-01-01 00:00:00.000002003,Tv-14,99 Min,"Action & Adventure, Anime Features, International Movies",2021,9,15,1970,1,1,56,Medium
S54,Movie,Inuyasha The Movie 4: Fire On The Mystic Island,Toshiya Shinohara,Japan,2021-09-15,1970-01-01 00:00:00.000002004,Tv-Pg,88 Min,"Action & Adventure, Anime Features, International Movies",2021,9,15,1970,1,1,56,Medium
S55,Movie,Inuyasha The Movie: Affections Touching Across Time,Toshiya Shinohara,Japan,2021-09-15,1970-01-01 00:00:00.000002001,Tv-Pg,100 Min,"Action & Adventure, Anime Features, International Movies",2021,9,15,1970,1,1,56,Medium
S198,Tv Show,I Heart Arlo,Not Given,Pakistan,2021-08-27,1970-01-01 00:00:00.000002021,Tv-Y7,1 Season,"Kids Tv, Tv Comedies",2021,8,27,1970,1,1,56,Short
S56,Tv Show,Nailed It,Not Given,United States,2021-09-15,1970-01-01 00:00:00.000002021,Tv-Pg,6 Seasons,Reality Tv,2021,9,15,1970,1,1,56,Short
S498,Tv Show,Cat People,Not Given,Pakistan,2021-07-07,1970-01-01 00:00:00.000002021,Tv-14,1 Season,Docuseries,2021,7,7,1970,1,1,56,Short
S214,Tv Show,Ride On Time,Not Given,Pakistan,2021-08-27,1970-01-01 00:00:00.000002021,Tv-Pg,3 Seasons,"Docuseries, International Tv Shows",2021,8,27,1970,1,1,56,Short
S219,Tv Show,Titletown High,Not Given,Pakistan,2021-08-27,1970-01-01 00:00:00.000002021,Tv-14,1 Season,"Reality Tv, Teen Tv Shows",2021,8,27,1970,1,1,56,Short
S225,Tv Show,Motel Makeover,Not Given,Pakistan,2021-08-25,1970-01-01 00:00:00.000002021,Tv-14,1 Season,"International Tv Shows, Reality Tv",2021,8,25,1970,1,1,56,Short
S226,Tv Show,Open Your Eyes,Not Given,Pakistan,2021-08-25,1970-01-01 00:00:00.000002021,Tv-Ma,1 Season,"International Tv Shows, Tv Dramas, Tv Mysteries",2021,8,25,1970,1,1,56,Short
S227,Tv Show,Post Mortem: No One Dies In Skarnes,Not Given,Pakistan,2021-08-25,1970-01-01 00:00:00.000002021,Tv-Ma,1 Season,"International Tv Shows, Tv Comedies, Tv Dramas",2021,8,25,1970,1,1,56,Short
S46,Movie,My Heroes Were Cowboys,Tyler Greco,Not Given,2021-09-16,1970-01-01 00:00:00.000002021,Pg,23 Min,Documentaries,2021,9,16,1970,1,1,56,Short
S57,Movie,Naruto Shippuden The Movie: Blood Prison,Masahiko Murata,Japan,2021-09-15,1970-01-01 00:00:00.000002011,Tv-14,102 Min,"Action & Adventure, Anime Features, International Movies",2021,9,15,1970,1,1,56,Medium
S58,Movie,Naruto Shippûden The Movie: Bonds,Hajime Kamegaki,Japan,2021-09-15,1970-01-01 00:00:00.000002008,Tv-Pg,93 Min,"Action & Adventure, Anime Features, International Movies",2021,9,15,1970,1,1,56,Medium
S59,Movie,Naruto Shippûden The Movie: The Will Of Fire,Masahiko Murata,Japan,2021-09-15,1970-01-01 00:00:00.000002009,Tv-Pg,96 Min,"Action & Adventure, Anime Features, International Movies",2021,9,15,1970,1,1,56,Medium
S60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,Japan,2021-09-15,1970-01-01 00:00:00.000002007,Tv-Pg,95 Min,"Action & Adventure, Anime Features, International Movies",2021,9,15,1970,1,1,56,Medium
S61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,Japan,2021-09-15,1970-01-01 00:00:00.000002010,Tv-14,85 Min,"Action & Adventure, Anime Features, International Movies",2021,9,15,1970,1,1,56,Medium
S62,Movie,Naruto The Movie 2: Legend Of The Stone Of Gelel,Hirotsugu Kawasaki,Japan,2021-09-15,1970-01-01 00:00:00.000002005,Tv-Pg,97 Min,"Action & Adventure, Anime Features, International Movies",2021,9,15,1970,1,1,56,Medium
S63,Movie,Naruto The Movie 3: Guardians Of The Crescent Moon Kingdom,Toshiyuki Tsuru,Japan,2021-09-15,1970-01-01 00:00:00.000002006,Tv-Pg,95 Min,"Action & Adventure, Anime Features, International Movies",2021,9,15,1970,1,1,56,Medium
S64,Movie,Naruto The Movie: Ninja Clash In The Land Of Snow,Tensai Okamura,Japan,2021-09-15,1970-01-01 00:00:00.000002004,Tv-Pg,83 Min,"Action & Adventure, Anime Features, International Movies",2021,9,15,1970,1,1,56,Medium
S243,Tv Show,Comedy Premium League,Not Given,Pakistan,2021-08-20,1970-01-01 00:00:00.000002021,Tv-Ma,1 Season,"International Tv Shows, Tv Comedies",2021,8,20,1970,1,1,56,Short
S244,Tv Show,Everything Will Be Fine,Not Given,Pakistan,2021-08-20,1970-01-01 00:00:00.000002021,Tv-Ma,1 Season,"International Tv Shows, Spanish-Language Tv Shows, Tv Comedies",2021,8,20,1970,1,1,56,Short
S246,Tv Show,Korean Cold Noodle Rhapsody,Not Given,Pakistan,2021-08-20,1970-01-01 00:00:00.000002021,Tv-Pg,1 Season,"Docuseries, International Tv Shows",2021,8,20,1970,1,1,56,Short
S249,Tv Show,The Chair,Not Given,Pakistan,2021-08-20,1970-01-01 00:00:00.000002021,Tv-Ma,1 Season,"Tv Comedies, Tv Dramas",2021,8,20,1970,1,1,56,Short
S261,Tv Show,The Defeated,Not Given,Pakistan,2021-08-18,1970-01-01 00:00:00.000002020,Tv-Ma,1 Season,"Crime Tv Shows, International Tv Shows, Tv Dramas",2021,8,18,1970,1,1,56,Short
S310,Tv Show,Car Masters: Rust To Riches,Not Given,Pakistan,2021-08-04,1970-01-01 00:00:00.000002021,Tv-Pg,3 Seasons,Reality Tv,2021,8,4,1970,1,1,56,Short
S74,Movie,King Of Boys,Kemi Adetiba,Nigeria,2021-09-14,1970-01-01 00:00:00.000002018,Tv-Ma,182 Min,"Dramas, International Movies",2021,9,14,1970,1,1,56,Very Long
S321,Tv Show,Top Secret Ufo Projects: Declassified,Not Given,Pakistan,2021-08-03,1970-01-01 00:00:00.000002021,Tv-Pg,1 Season,Docuseries,2021,8,3,1970,1,1,56,Short
S337,Tv Show,Friday Night Lights,Not Given,Pakistan,2021-08-01,1970-01-01 00:00:00.000002010,Tv-14,5 Seasons,"Tv Dramas, Teen Tv Shows",2021,8,1,1970,1,1,56,Short
S365,Tv Show,Centaurworld,Not Given,Pakistan,2021-07-30,1970-01-01 00:00:00.000002021,Tv-Y7,1 Season,"Kids Tv, Tv Comedies",2021,7,30,1970,1,1,56,Short
S369,Tv Show,Khawatir,Not Given,Pakistan,2021-07-30,1970-01-01 00:00:00.000002009,Tv-14,1 Season,"International Tv Shows, Reality Tv",2021,7,30,1970,1,1,56,Short
S370,Tv Show,Myth & Mogul: John Delorean,Not Given,Pakistan,2021-07-30,1970-01-01 00:00:00.000002021,Tv-14,1 Season,"British Tv Shows, Crime Tv Shows, Docuseries",2021,7,30,1970,1,1,56,Short
S377,Tv Show,Transformers: War For Cybertron: Kingdom,Not Given,Pakistan,2021-07-29,1970-01-01 00:00:00.000002021,Tv-Y7,1 Season,Anime Series,2021,7,29,1970,1,1,56,Short
S380,Tv Show,Tattoo Redo,Not Given,Pakistan,2021-07-28,1970-01-01 00:00:00.000002021,Tv-Ma,1 Season,Reality Tv,2021,7,28,1970,1,1,56,Short
S382,Tv Show,The Snitch Cartel: Origins,Not Given,Pakistan,2021-07-28,1970-01-01 00:00:00.000002021,Tv-Ma,1 Season,"Crime Tv Shows, International Tv Shows, Spanish-Language Tv Shows",2021,7,28,1970,1,1,56,Short
S398,Tv Show,Feels Like Ishq,Not Given,Pakistan,2021-07-23,1970-01-01 00:00:00.000002021,Tv-Ma,1 Season,"International Tv Shows, Romantic Tv Shows, Tv Comedies",2021,7,23,1970,1,1,56,Short
S483,Tv Show,How To Become A Tyrant,Not Given,Pakistan,2021-07-09,1970-01-01 00:00:00.000002021,Tv-Ma,1 Season,Docuseries,2021,7,9,1970,1,1,56,Short
S82,Movie,Kate,Cedric Nicolas-Troyan,United States,2021-09-10,1970-01-01 00:00:00.000002021,R,106 Min,Action & Adventure,2021,9,10,1970,1,1,56,Medium
S85,Movie,Omo Ghetto: The Saga,"Jjc Skillz, Funke Akindele",Nigeria,2021-09-10,1970-01-01 00:00:00.000002020,Tv-Ma,147 Min,"Action & Adventure, Comedies, Dramas",2021,9,10,1970,1,1,56,Long
S87,Movie,Prey,Thomas Sieben,Germany,2021-09-10,1970-01-01 00:00:00.000002021,Tv-Ma,87 Min,"International Movies, Thrillers",2021,9,10,1970,1,1,56,Medium
S401,Tv Show,Revelations: The Masters Of The Universe: Revelation Aftershow,Not Given,Pakistan,2021-07-23,1970-01-01 00:00:00.000002021,Tv-Pg,1 Season,"Anime Series, Stand-Up Comedy & Talk Shows",2021,7,23,1970,1,1,56,Short
S405,Movie,9To5: The Story Of A Movement,Not Given,Pakistan,2021-07-22,1970-01-01 00:00:00.000002021,Tv-Ma,85 Min,Documentaries,2021,7,22,1970,1,1,56,Medium
S91,Movie,Paradise Hills,Alice Waddington,Spain,2021-09-09,1970-01-01 00:00:00.000002019,Tv-Ma,95 Min,"Sci-Fi & Fantasy, Thrillers",2021,9,9,1970,1,1,56,Medium
S92,Movie,The Women And The Murderer,"Mona Achache, Patricia Tourancheau",France,2021-09-09,1970-01-01 00:00:00.000002021,Tv-14,92 Min,"Documentaries, International Movies",2021,9,9,1970,1,1,56,Medium
S431,Tv Show,Sexy Beasts,Not Given,Pakistan,2021-07-21,1970-01-01 00:00:00.000002021,Tv-14,1 Season,"British Tv Shows, International Tv Shows, Reality Tv",2021,7,21,1970,1,1,56,Short
S95,Movie,Show Dogs,Raja Gosnell,United Kingdom,2021-09-08,1970-01-01 00:00:00.000002018,Pg,90 Min,"Children & Family Movies, Comedies",2021,9,8,1970,1,1,56,Medium
S1071,Movie,Why Did You Kill Me?,Fredrick Munk,United States,2021-04-14,1970-01-01 00:00:00.000002021,Tv-Ma,84 Min,Documentaries,2021,4,14,1970,1,1,56,Medium
S432,Tv Show,Too Hot To Handle: Brazil,Not Given,Pakistan,2021-07-21,1970-01-01 00:00:00.000002021,Tv-Ma,1 Season,"International Tv Shows, Reality Tv, Romantic Tv Shows",2021,7,21,1970,1,1,56,Short
S436,Tv Show,Touch Your Heart,Not Given,Pakistan,2021-07-20,1970-01-01 00:00:00.000002019,Tv-Ma,1 Season,"Crime Tv Shows, International Tv Shows, Romantic Tv Shows",2021,7,20,1970,1,1,56,Short
S467,Tv Show,My Unorthodox Life,Not Given,Pakistan,2021-07-14,1970-01-01 00:00:00.000002021,Tv-Ma,1 Season,Reality Tv,2021,7,14,1970,1,1,56,Short
S488,Tv Show,The Cook Of Castamar,Not Given,Pakistan,2021-07-09,1970-01-01 00:00:00.000002021,Tv-Ma,1 Season,"International Tv Shows, Romantic Tv Shows, Spanish-Language Tv Shows",2021,7,9,1970,1,1,56,Short
S491,Tv Show,Elize Matsunaga: Once Upon A Crime,Not Given,Pakistan,2021-07-08,1970-01-01 00:00:00.000002021,Tv-Ma,1 Season,"Crime Tv Shows, Docuseries, International Tv Shows",2021,7,8,1970,1,1,56,Short
S505,Tv Show,The War Next-Door,Not Given,Pakistan,2021-07-07,1970-01-01 00:00:00.000002021,Tv-Ma,1 Season,"International Tv Shows, Spanish-Language Tv Shows, Tv Comedies",2021,7,7,1970,1,1,56,Short
S550,Tv Show,Big Timber,Not Given,Pakistan,2021-07-02,1970-01-01 00:00:00.000002020,Tv-14,1 Season,"International Tv Shows, Reality Tv",2021,7,2,1970,1,1,56,Short
S572,Tv Show,Generation 56K,Not Given,Pakistan,2021-07-01,1970-01-01 00:00:00.000002021,Tv-Ma,1 Season,"International Tv Shows, Romantic Tv Shows, Tv Comedies",2021,7,1,1970,1,1,56,Short
S591,Tv Show,Sailor Moon Crystal,Not Given,Pakistan,2021-07-01,1970-01-01 00:00:00.000002016,Tv-Y7,3 Seasons,"Anime Series, Kids Tv",2021,7,1,1970,1,1,56,Short
S640,Tv Show,Godzilla Singular Point,Not Given,Pakistan,2021-06-24,1970-01-01 00:00:00.000002021,Tv-14,1 Season,"Anime Series, International Tv Shows",2021,6,24,1970,1,1,56,Short
S642,Movie,Sisters On Track,Not Given,Pakistan,2021-06-24,1970-01-01 00:00:00.000002021,Pg,97 Min,"Documentaries, Sports Movies",2021,6,24,1970,1,1,56,Medium
S648,Tv Show,The Parisian Agency: Exclusive Properties,Not Given,Pakistan,2021-06-23,1970-01-01 00:00:00.000002021,Tv-G,1 Season,"International Tv Shows, Reality Tv",2021,6,23,1970,1,1,56,Short
S78,Movie,Little Singham - Black Shadow,Prakash Satam,Not Given,2021-09-11,1970-01-01 00:00:00.000002021,Tv-Y7,48 Min,"Children & Family Movies, Comedies",2021,9,11,1970,1,1,56,Short
S81,Movie,Firedrake The Silver Dragon,Tomer Eshed,Not Given,2021-09-10,1970-01-01 00:00:00.000002021,Tv-Y7,93 Min,Children & Family Movies,2021,9,10,1970,1,1,56,Medium
S79,Movie,Tughlaq Durbar,Delhiprasad Deenadayalan,Not Given,2021-09-11,1970-01-01 00:00:00.000002020,Tv-14,145 Min,"Comedies, Dramas, International Movies",2021,9,11,1970,1,1,56,Long
